"Name","Dragon.Year","Sex","Time.in.pop","ActiveFungus","ActiveFungus_L","InfectedDensity.Annual","X","Y"
"Fritter",2014,"Female",722.166666666667,0,0,6.59183505603056e-05,767.166666666667,133.833333333333
"Frogmouth",2014,"Male",0,0,0,0,712,19
"Gaga",2014,"Male",769.052631578947,0,0,0,716.578947368421,28.5789473684211
"Galaxy",2014,"Female",375,0,0,7.32810449150943e-05,765,143
"Gallion",2014,"Male",780.44,0,0,2.1438521871878e-11,761.08,92.56
"Garlic",2014,"Male",0,0,0,0,734,30
"Georgia",2014,"Female",756.142857142857,0,0,0,753.428571428571,87.4285714285714
"Glinda",2014,"Female",777,0,0,0,739,57
"Greg",2014,"Male",1314,0,0,0.00010552756679343,771,154
"Gretchen",2014,"Female",734.333333333333,0,0,9.09665153133965e-05,774.333333333333,132.666666666667
"Gretel",2014,"Female",1341.77777777778,0,0,2.17467410628843e-06,746.111111111111,127.222222222222
"Grille",2014,"Male",1339.55555555556,0,0,7.10659972178924e-05,767.555555555556,136.444444444444
"Grumpy",2014,"Female",23,0,0,0.000161474042367275,784.5,168.5
"Guacamole",2014,"Male",1.5,0,0,5.32655196284404e-06,752.5,176
"Hairy",2014,"Male",0,0,0,0,709,36
"Hakuna",2014,"Female",64.1666666666667,0,0,5.92411647337934e-05,764.166666666667,140
"Happy",2014,"Male",1325.5,0,0,6.99517416788819e-06,761,126
"Harvard",2014,"Male",704.666666666667,0,0,0.000565683548271712,797.666666666667,156.666666666667
"Hatty",2014,"Female",1316.14285714286,0,0,3.0520195557557e-06,748.714285714286,191
"Hazza",2014,"Male",365.666666666667,0,0,1.89239538032816e-05,753.666666666667,134.333333333333
"Hector",2014,"Male",1330.28571428571,0,0,2.9386709265541e-05,752.571428571429,138.714285714286
"Hippo",2014,"Male",768.75,0,0,2.02179155035776e-05,763.125,135.5
"Horis",2014,"Female",796.6,0,0,0,717,56.4666666666667
"Hyena",2014,"Female",26.5,0,0,3.4947587339856e-06,746.5,166
"Ianson",2014,"Male",758,0,0,1.45778463016411e-05,757,167
"Imogen",2014,"Female",29.4,0,0,0,753.8,81.2
"Indigo",2014,"Female",1314,0,0,8.72779867954062e-05,776,131
"Ingrid",2014,"Female",14,0,0,2.87219436524866e-05,761.25,134.75
"Isaac",2014,"Male",310,0,0,4.21648029077364e-07,765,115
"Ishy",2014,"Male",1320.40740740741,0,0,0,750,82.7407407407407
"Ivy",2014,"Female",1326.625,0,0,6.04366797954562e-06,761.625,123.875
"Jago",2014,"Male",0,0,0,0.000216442993577522,775,152
"Jamie",2014,"Male",1316.66666666667,0,0,3.78197115094538e-05,765.333333333333,132
"Janice",2014,"Female",12.5,0,0,0,725,44.5
"Jedi",2014,"Male",1299,0,0,1.88572024820186e-05,761.583333333333,171.583333333333
"Jeff",2014,"Male",17.5,0,0,0,714.25,26.5
"Jen",2014,"Female",30.6666666666667,0,0,0.0006278161298058,786.777777777778,147.111111111111
"Jinx",2014,"Male",1281,0,0,5.68372521070683e-05,774,169
"Joey",2014,"Male",657.571428571429,0,0,1.26372899255724e-05,757,127.142857142857
"Johnny",2014,"Male",1318.29032258065,0,0,0.000240168992008933,784.741935483871,165.032258064516
"Josh",2014,"Male",18,0,0,0,740.833333333333,43.1666666666667
"Jude",2014,"Male",753,0,0,0,740,49
"Judge",2014,"Male",1324,0,0,0,746.625,26.625
"Judy",2014,"Female",1319.5,0,0,0,715,51.5
"Jungle",2014,"Female",41.5,0,0,8.15066447420508e-06,752.75,194.583333333333
"Juno",2014,"Female",34.2,0,0,9.93912361894892e-06,754.2,176
"Kaa",2014,"Female",1289,0,0,0,711,44
"Karin",2014,"Female",783.315789473684,0,0,0,756.789473684211,85.2631578947368
"Kasha",2014,"Female",726,0,0,0,714,45
"Kelloggs",2014,"Female",0,0,0,0,721,31
"Kelly",2014,"Female",1285.5,0,0,0,715.5,35
"Kelvin",2014,"Male",1346.18181818182,0,0,1.07101332157289e-05,749.363636363636,131.272727272727
"Kiah",2014,"Female",0.5,0,0,0,743,46
"Kiara",2014,"Female",695.333333333333,0,0,3.55577190529816e-05,767.666666666667,169
"Kika",2014,"Female",33.3333333333333,0,0,0.000357990789154348,781.75,155.25
"Kiki",2014,"Female",1288,0,0,1.68232669635815e-05,759,174
"Kirra",2014,"Female",1317.88888888889,0,0,4.49227877124849e-05,756.777777777778,124.555555555556
"Kitcat",2014,"Male",1284,0,0,2.91147883275576e-05,764,133
"Kookaburra",2014,"Male",13,0,0,0.000254714349252391,805.5,176.5
"Kristoff",2014,"Male",0,0,0,0,744,17
"Kylie",2014,"Female",746,0,0,0,760.25,92
"Larsson",2014,"Male",342,0,0,1.28987799391613e-05,744,153
"Lavender",2014,"Female",639.666666666667,0,0,0.000106460323147448,803.166666666667,177
"Leona",2014,"Female",790.266666666667,0,0,0,739.333333333333,47.6
"Lima",2014,"Female",775.318181818182,0,0,0.000246249312596758,776.545454545455,139.272727272727
"Loki",2014,"Male",0,0,0,7.2431889983198e-06,762,126
"Lola",2014,"Female",1274,0,0,1.90190173555117e-05,763,131
"Lopez",2014,"Female",770.666666666667,0,0,0,738.333333333333,78
"Loretta",2014,"Female",1317.38888888889,0,0,0.000216541150208053,774.722222222222,148.888888888889
"Luigi",2014,"Male",1259.5,0,0,2.17900968513024e-05,762.5,131.25
"Luther",2014,"Male",0,0,0,0,741,24
"Magnum",2014,"Male",1345.375,0,0,5.92668843736173e-05,763.4375,143.8125
"Mandarin",2014,"Female",0,0,0,0,724,35
"Mango",2014,"Female",1345.5,0,0,0,716.75,45.75
"Manny",2014,"Male",346.25,0,0,1.94004192184121e-05,762.75,130.25
"Marcos",2014,"Male",1332.44444444444,0,0,0,731.5,41
"Margot",2014,"Female",375.5,0,0,0.00031929527328687,795,196.5
"Mark",2014,"Male",758.333333333333,0,0,0.000155607800959148,768.833333333333,138.5
"Martha",2014,"Female",688.666666666667,0,0,0,731.666666666667,48
"Martin",2014,"Male",787.515151515152,0,0,6.05064047174836e-05,772.30303030303,168.454545454545
"Maximus",2014,"Male",325,0,0,0.000360802722354187,792,195
"Meaty",2014,"Male",1436.84615384615,0,0,9.89167879339177e-08,723.461538461538,69.5384615384615
"Melon",2014,"Female",1321.86666666667,0,0,0,741.066666666667,50.6
"Menut",2014,"Male",24.75,0,0,1.12094249993893e-07,743.5,64
"Mercy",2014,"Female",1325.68571428571,0,0,0,750.485714285714,83.5428571428571
"Merlin",2014,"Male",412.333333333333,0,0,0.000178617089953756,791.888888888889,192.444444444444
"Michal",2014,"Female",783.578947368421,0,0,3.9519106940051e-05,765.736842105263,171.789473684211
"Millie",2014,"Female",1334.35714285714,0,0,6.40282750861307e-05,767.5,137.642857142857
"Mint",2014,"Female",4,0,0,0,739,45.5
"Missy",2014,"Female",1328.30769230769,0,0,1.18365209501464e-05,755.564102564103,174.051282051282
"Molly",2014,"Female",1328.26086956522,0,0,1.38883143753568e-05,761.826086956522,129.304347826087
"Mowgli",2014,"Male",34,0,0,0.000121816612613492,768.636363636364,179.727272727273
"Muffin",2014,"Female",1323.03333333333,0,0,0.000366608690726013,777.933333333333,141.033333333333
"Nate",2014,"Male",11.25,0,0,0,727.75,36
"Nigella",2014,"Female",705.25,0,0,0.0003980027016245,795.45,163.85
"Oatsy",2014,"Male",1063,0,0,0,706,34
"Odin",2014,"Male",47.5,0,0,0,761.5,94.5
"Ola",2014,"Female",0,0,0,0,736,7
"Oliver",2014,"Male",797,0,0,0,718,53.5
"Opal",2014,"Female",1326,0,0,0,708,32
"Oreo",2014,"Male",1341,0,0,0,739.666666666667,24.3333333333333
"Paige",2014,"Female",25.6,0,0,6.94317839519848e-08,732.4,121.1
"Palkana",2014,"Female",21.25,0,0,3.28266595543102e-06,750.5,198.5
"Pam",2014,"Female",48.1666666666667,0,0,0,755,86.6666666666667
"Pancake",2014,"Female",1323.34782608696,0,0,1.32636617599821e-05,762.260869565217,128
"Panda",2014,"Female",0,0,0,3.60992325205499e-07,760,116
"Panoramix",2014,"Male",25.25,0,0,0,715.75,49
"Paqueratte",2014,"Female",780.774193548387,0,0,0,711.41935483871,44.8387096774194
"Patrick",2014,"Male",747.25,0,0,0.00012057431360535,773.45,135.7
"Pau",2014,"Male",324.5,0,0,2.23311887242501e-05,742,119
"Paul",2014,"Male",1322.14285714286,0,0,3.69620430882538e-06,760.857142857143,120.238095238095
"Peacan",2014,"Female",1306,0,0,0.000669825560704323,790.157894736842,146.842105263158
"Peaches",2014,"Female",1329.22222222222,0,0,0,738.611111111111,45.8611111111111
"Peanut",2014,"Male",774.733333333333,0,1,0.000422338709916002,791.533333333333,172.966666666667
"Pear",2014,"Female",785.52380952381,0,0,7.90102440356698e-06,762.380952380952,125.238095238095
"Pesol",2014,"Male",351.5,0,0,5.27972135280332e-06,738,138.9
"Phobos",2014,"Female",45.1428571428571,0,0,0,719.142857142857,102.142857142857
"Pinky",2014,"Female",1296.93333333333,0,0,0,747.333333333333,79.6666666666667
"Pippa",2014,"Female",745.75,0,0,8.14887687706115e-05,772.25,122.25
"Piran",2014,"Female",23,0,0,0,715.75,30
"Pistatxo",2014,"Male",728.25,0,0,1.69527916284232e-05,762.25,130.125
"Pixie",2014,"Female",1337.4,0,0,2.76986767047406e-05,752,140.8
"Polly",2014,"Female",717.727272727273,0,0,5.82968137072111e-11,723.909090909091,109.090909090909
"Poncho",2014,"Male",782.571428571429,0,0,0,734.571428571429,58
"Porridge",2014,"Male",1280.29411764706,0,0,0.000154461283834993,776.764705882353,168.588235294118
"Potato",2014,"Male",771.666666666667,0,0,4.14559018834836e-11,722.69696969697,104.636363636364
"Puppet",2014,"Male",1313.73913043478,0,0,9.14462726168743e-13,736.304347826087,85.7391304347826
"Quad",2014,"Male",1308,0,0,0.000176453127086811,776.176470588235,166.705882352941
"Quick",2014,"Male",1284.6,0,0,1.19228435708344e-05,762.2,134.4
"Rain",2014,"Female",16,0,0,4.2587095333818e-05,756.5,148
"Rainbow",2014,"Female",37.75,0,0,0,721.6,102.4
"Rankin",2014,"Male",375.727272727273,0,0,1.03425965869311e-08,748.818181818182,95.2272727272727
"Reiko",2014,"Female",768,0,0,0,741,100
"Riana",2014,"Female",757,0,0,0.000304487486604482,779.5,143.5
"Ripper",2014,"Male",387.833333333333,0,0,3.12831174939795e-05,752.5,185.416666666667
"Roasty",2014,"Male",1301.5,0,0,2.06010312435161e-06,753,142.5
"Rokia",2014,"Female",745,0,0,0.000370724986724214,784,157
"Rolley",2014,"Female",1328.25,0,0,5.3379523945635e-05,765,136.25
"Roman",2014,"Male",783.5,0,0,0,735.166666666667,41
"Rooty",2014,"Male",727.923076923077,0,0,0,724.846153846154,36.0769230769231
"Rosella",2014,"Female",0,0,0,0,756,86
"Rosie",2014,"Female",749,0,0,0,735.5,47.5
"Rowan",2014,"Female",331.25,0,0,0,747,80.75
"Runner",2014,"Male",581.75,0,0,2.11825482764006e-06,746.027777777778,182.75
"Russel",2014,"Male",1264,0,0,0,710,43
"Ryan",2014,"Male",790,0,0,0,715,27
"Salami",2014,"Male",341.5,0,0,0.000198744232369615,787.25,198.75
"Sandy",2014,"Female",1322.57894736842,0,0,3.03791477769084e-05,761.947368421053,134.105263157895
"Sansa",2014,"Female",761,0,0,8.98242611335034e-06,763,126
"Saturn",2014,"Female",0,0,0,0,721,55
"Sawyer",2014,"Male",1324.5,0,0,1.14780262244605e-05,764,127
"Scooter",2014,"Male",1311.66666666667,0,0,0,732.666666666667,29.5
"Scott",2014,"Male",0,0,0,0,713,24
"Scout",2014,"Male",1318.9,0,0,1.33377722250818e-05,762.5,131.8
"Scruffy",2014,"Male",582.142857142857,0,0,1.42885697480988e-05,763.428571428571,128.428571428571
"Seb",2014,"Male",1331.2,0,0,0.000419344322970547,779.8,143.8
"Sir",2014,"Male",1319.5,0,0,0,742.5,15.5
"Sixer",2014,"Male",1324,0,0,2.91147883275576e-05,764,133
"Skillet",2014,"Male",804.571428571429,0,0,9.90060674292718e-05,772.142857142857,163.571428571429
"Skitt",2014,"Female",1287.5,0,0,0,714.75,51.625
"Smaug",2014,"Male",0,0,0,3.62649211915819e-06,738,138
"Snape",2014,"Male",387.5,0,0,5.49076982337063e-10,726.75,113.25
"Sol",2014,"Male",38.7272727272727,0,0,0.000187259083162163,779.636363636364,187.272727272727
"Song",2014,"Female",5,0,0,0,737.25,13.5
"Sophie",2014,"Female",1340.5,0,0,0.000113921320836878,761.666666666667,128.333333333333
"Sparkle",2014,"Female",699,0,0,5.04049090139666e-05,773,130
"Spears",2014,"Female",749.090909090909,0,0,3.95735732818325e-06,748.318181818182,178.818181818182
"Stephan",2014,"Male",731,0,0,2.34329165253564e-07,765,113.5
"Strand",2014,"Female",652.6,0,0,0.000298558974079774,778.4,154.4
"Stretch",2014,"Male",0,0,0,0.00023711586066518,808,182
"Sunbird",2014,"Female",326.333333333333,0,0,3.34380183582646e-06,735.333333333333,148
"Surf",2014,"Female",17,0,0,9.19569970010105e-07,743.5,196.5
"Suria",2014,"Male",1306.6,0,0,3.72218476164132e-06,739,161.4
"Table",2014,"Female",736.875,0,0,9.36703972461269e-05,774.75,132.625
"Tamara",2014,"Female",724.75,0,0,0.000740573218429123,789,147.5
"Tangle",2014,"Female",757.307692307692,0,0,0.000136083833038658,771.923076923077,143.461538461538
"Tas",2014,"Male",0,0,0,1.32206298645651e-06,746,189
"Taylor",2014,"Female",1286,0,0,4.28772490160992e-05,770,170
"Teabag",2014,"Male",1282.36363636364,0,0,0.000156384346264994,777.272727272727,177.181818181818
"Ted",2014,"Male",0,0,0,0,727,3
"Thelma",2014,"Female",1312.29411764706,0,0,1.00758744609485e-05,750.764705882353,187.176470588235
"Tilly",2014,"Female",1307.4,0,0,0,713,49
"Tim",2014,"Male",1321.96875,0,0,6.7016937593025e-05,767.71875,173.46875
"Tintin",2014,"Male",0,0,0,0,735,38
"Tipper",2014,"Female",1286.6,0,0,0.000120276945610213,773.8,135
"Tobin",2014,"Male",57.3333333333333,0,0,1.95286344946958e-08,737.166666666667,49
"Tomas",2014,"Male",334,0,0,0.000107233549689188,813.5,190.5
"Tomeua",2014,"Female",0,0,0,0.000269268733255124,796,163
"Tommy",2014,"Male",641,0,0,0,705,36
"Tony",2014,"Male",1285,0,0,0,733,54
"Tootsie",2014,"Female",1294,0,0,0,736,48
"Triton",2014,"Male",16.25,0,0,0,758,88
"Trixie",2014,"Female",1313.14285714286,0,0,0.000570879047319803,785.428571428571,143
"Trumpet",2014,"Male",1045.75,0,0,0.000326461700256117,801,162.75
"Tulip",2014,"Female",788,0,0,0,736.333333333333,74.3333333333333
"Tyler",2014,"Male",67.75,0,0,0,733.125,44.5
"Violet",2014,"Female",1321.63333333333,0,0,0.000217081884703666,784,162.033333333333
"Wally",2014,"Male",1321.5,0,0,2.00644808734126e-05,761.666666666667,135.833333333333
"Washy",2014,"Male",1305.95238095238,0,0,3.17202577051256e-06,737.52380952381,156.619047619048
"Wesley",2014,"Male",19.6,0,0,0,718.6,45
"Wheels",2014,"Male",1287,0,0,1.14822363063551e-05,757,174
"Whisker",2014,"Male",1323.85714285714,0,0,0,730.857142857143,69.1428571428571
"Wildling",2014,"Male",0,0,0,0,740,101
"William",2014,"Male",1306,0,0,3.32795823391996e-06,742.333333333333,170.333333333333
"Willow",2014,"Female",1264,0,0,0.000164772575744225,784,175
"Wink",2014,"Male",1305,0,0,0,737,50
"Winnie",2014,"Female",21.8888888888889,0,0,4.80792586345194e-05,758.888888888889,154.444444444444
"Wolverine",2014,"Male",24.5,0,0,4.82708857809584e-06,748.5,174
"Xavier",2014,"Male",776.615384615385,0,0,2.74521839074537e-05,750.615384615385,139.538461538462
"Yves",2014,"Male",748.5,0,0,5.94177649078806e-05,757.333333333333,178.833333333333
"Abuela",2015,"Female",214.9,0,0,5.09873512367134e-05,764.2,134.6
"Acer",2015,"Male",1424,0,0,0,723,103
"Adele",2015,"Female",0,0,0,0,765,123
"Adonis",2015,"Male",0,0,0,0,708,38
"Africa",2015,"Male",1062.87323943662,0,0,0,715.323943661972,52.943661971831
"Agnes",2015,"Female",339,0,0,0.000200025716498451,772,151
"Aigua",2015,"Female",56.5,0,0,0.000109470474910874,773.583333333333,167.083333333333
"Aina",2015,"Female",92,0,0,2.4207920216366e-05,747,143
"Aladdin",2015,"Female",871,0,0,0,726,41
"Alaska",2015,"Female",3,0,0,3.63329865144252e-05,760.5,163
"Albert",2015,"Male",1626.05357142857,0,0,5.787263673927e-05,749.857142857143,142.071428571429
"Alexis",2015,"Female",337.114285714286,0,0,1.03692727454348e-06,752.257142857143,130.142857142857
"Aliona",2015,"Female",384.625,0,0,0,737.9375,8.4375
"Allan",2015,"Male",0,0,0,3.39370077672406e-06,752,201
"Ana",2015,"Female",491.666666666667,0,0,5.2139930820695e-05,765.666666666667,136.333333333333
"Angie",2015,"Female",1459,0,0,0,719,13
"Annie",2015,"Female",1562.26666666667,0,0,1.37575116533795e-05,762.266666666667,132.933333333333
"Anubis",2015,"Male",32.2,0,0,0,738.8,17
"Apple",2015,"Female",1105.89473684211,0,0,0,714.052631578947,49.3157894736842
"Apricot",2015,"Female",1644.8125,0,0,0.000507334048129618,782.1875,156.3125
"Arnold",2015,"Male",1562.98076923077,0,0,0.00115833736607877,776.365384615385,146.942307692308
"Arthur",2015,"Male",0,0,0,6.07744751496722e-06,754,199
"Aslan",2015,"Male",678.125,0,0,2.23449159318371e-05,770.875,174.125
"Asterix",2015,"Male",1090.58823529412,0,0,2.93934442667758e-06,762.676470588235,126.470588235294
"Aurora",2015,"Female",1708,0,0,0,760,118
"Bagheera",2015,"Male",223,0,0,0,719.666666666667,42.6666666666667
"Baloo",2015,"Male",0,0,0,0,743,7
